Date,Predicted Sales
2024-01-31,169
2024-02-29,116
2024-03-31,197
2024-04-30,144
2024-05-31,194
2024-06-30,183
2024-07-31,207
2024-08-31,178
2024-09-30,191
2024-10-31,163
2024-11-30,150
2024-12-31,150
2025-01-31,166
2025-02-28,98
2025-03-31,188
2025-04-30,133
2025-05-31,209
2025-06-30,183
2025-07-31,213
2025-08-31,155
2025-09-30,143
2025-10-31,154
2025-11-30,162
2025-12-31,131
2026-01-31,161
2026-02-28,96
2026-03-31,184
2026-04-30,128
2026-05-31,195
2026-06-30,176
2026-07-31,201
2026-08-31,155
2026-09-30,154
2026-10-31,150
2026-11-30,148
2026-12-31,128
2027-01-31,153
2027-02-28,87
2027-03-31,176
2027-04-30,117
2027-05-31,188
2027-06-30,167
2027-07-31,194
2027-08-31,146
2027-09-30,140
2027-10-31,140
2027-11-30,144
2027-12-31,120
2028-01-31,148
2028-02-29,83
2028-03-31,168
2028-04-30,112
2028-05-31,182
2028-06-30,164
2028-07-31,193
2028-08-31,141
2028-09-30,137
