Date,Predicted Sales
2024-01-31,102
2024-02-29,93
2024-03-31,96
2024-04-30,114
2024-05-31,94
2024-06-30,51
2024-07-31,70
2024-08-31,88
2024-09-30,90
2024-10-31,94
2024-11-30,81
2024-12-31,76
2025-01-31,130
2025-02-28,107
2025-03-31,102
2025-04-30,106
2025-05-31,82
2025-06-30,49
2025-07-31,69
2025-08-31,87
2025-09-30,84
2025-10-31,77
2025-11-30,46
2025-12-31,95
2026-01-31,108
2026-02-28,100
2026-03-31,112
2026-04-30,104
2026-05-31,87
2026-06-30,48
2026-07-31,66
2026-08-31,62
2026-09-30,41
2026-10-31,70
2026-11-30,66
2026-12-31,80
2027-01-31,92
2027-02-28,79
2027-03-31,82
2027-04-30,90
2027-05-31,70
2027-06-30,30
2027-07-31,50
2027-08-31,63
2027-09-30,57
2027-10-31,64
2027-11-30,51
2027-12-31,62
2028-01-31,94
2028-02-29,79
2028-03-31,81
2028-04-30,82
2028-05-31,61
2028-06-30,24
2028-07-31,44
2028-08-31,56
2028-09-30,48
