Date,Predicted Sales
2023-07-31,5
2023-08-31,38
2023-09-30,9
2023-10-31,39
2023-11-30,15
2023-12-31,37
2024-01-31,22
2024-02-29,34
2024-03-31,28
2024-04-30,49
2024-05-31,33
2024-06-30,60
2024-07-31,39
2024-08-31,65
2024-09-30,44
2024-10-31,65
2024-11-30,50
2024-12-31,64
2025-01-31,56
2025-02-28,62
2025-03-31,61
2025-04-30,79
2025-05-31,65
2025-06-30,91
2025-07-31,69
2025-08-31,97
2025-09-30,74
2025-10-31,98
2025-11-30,80
2025-12-31,97
2026-01-31,86
2026-02-28,95
2026-03-31,91
2026-04-30,111
2026-05-31,95
2026-06-30,123
2026-07-31,100
2026-08-31,129
2026-09-30,106
2026-10-31,130
2026-11-30,112
2026-12-31,128
2027-01-31,118
2027-02-28,126
2027-03-31,123
2027-04-30,142
2027-05-31,127
2027-06-30,154
2027-07-31,131
2027-08-31,160
2027-09-30,137
2027-10-31,161
2027-11-30,143
2027-12-31,159
2028-01-31,149
2028-02-29,157
2028-03-31,154
