Date,Predicted Sales
2024-01-31,247
2024-02-29,197
2024-03-31,253
2024-04-30,241
2024-05-31,269
2024-06-30,271
2024-07-31,239
2024-08-31,282
2024-09-30,264
2024-10-31,200
2024-11-30,216
2024-12-31,289
2025-01-31,254
2025-02-28,241
2025-03-31,301
2025-04-30,266
2025-05-31,277
2025-06-30,298
2025-07-31,222
2025-08-31,261
2025-09-30,333
2025-10-31,206
2025-11-30,203
2025-12-31,300
2026-01-31,285
2026-02-28,241
2026-03-31,253
2026-04-30,247
2026-05-31,308
2026-06-30,274
2026-07-31,257
2026-08-31,272
2026-09-30,305
2026-10-31,228
2026-11-30,244
2026-12-31,304
2027-01-31,296
2027-02-28,253
2027-03-31,288
2027-04-30,277
2027-05-31,318
2027-06-30,305
2027-07-31,277
2027-08-31,308
2027-09-30,320
2027-10-31,242
2027-11-30,258
2027-12-31,328
2028-01-31,308
2028-02-29,275
2028-03-31,324
2028-04-30,300
2028-05-31,331
2028-06-30,330
2028-07-31,281
2028-08-31,311
2028-09-30,353
