Date,Predicted Sales
2024-01-31,135
2024-02-29,100
2024-03-31,93
2024-04-30,94
2024-05-31,114
2024-06-30,104
2024-07-31,116
2024-08-31,110
2024-09-30,105
2024-10-31,110
2024-11-30,110
2024-12-31,109
2025-01-31,120
2025-02-28,97
2025-03-31,85
2025-04-30,88
2025-05-31,108
2025-06-30,96
2025-07-31,108
2025-08-31,105
2025-09-30,103
2025-10-31,107
2025-11-30,105
2025-12-31,101
2026-01-31,113
2026-02-28,91
2026-03-31,80
2026-04-30,82
2026-05-31,102
2026-06-30,90
2026-07-31,101
2026-08-31,97
2026-09-30,93
2026-10-31,97
2026-11-30,97
2026-12-31,94
2027-01-31,106
2027-02-28,83
2027-03-31,73
2027-04-30,76
2027-05-31,97
2027-06-30,84
2027-07-31,95
2027-08-31,91
2027-09-30,87
2027-10-31,91
2027-11-30,90
2027-12-31,89
2028-01-31,100
2028-02-29,76
2028-03-31,66
2028-04-30,68
2028-05-31,88
2028-06-30,78
2028-07-31,89
2028-08-31,84
2028-09-30,80
