Date,Predicted Sales
2022-02-28,2
2022-03-31,4
2022-04-30,3
2022-05-31,6
2022-06-30,6
2022-07-31,3
2022-08-31,2
2022-09-30,2
2022-10-31,2
2022-11-30,8
2022-12-31,7
2023-01-31,5
2023-02-28,3
2023-03-31,4
2023-04-30,3
2023-05-31,8
2023-06-30,9
2023-07-31,3
2023-08-31,3
2023-09-30,3
2023-10-31,3
2023-11-30,5
2023-12-31,8
2024-01-31,6
2024-02-29,4
2024-03-31,6
2024-04-30,4
2024-05-31,11
2024-06-30,7
2024-07-31,4
2024-08-31,4
2024-09-30,4
2024-10-31,4
2024-11-30,6
2024-12-31,12
2025-01-31,8
2025-02-28,5
2025-03-31,7
2025-04-30,6
2025-05-31,10
2025-06-30,10
2025-07-31,5
2025-08-31,5
2025-09-30,5
2025-10-31,5
2025-11-30,8
2025-12-31,11
2026-01-31,8
2026-02-28,6
2026-03-31,8
2026-04-30,7
2026-05-31,12
2026-06-30,11
2026-07-31,6
2026-08-31,6
2026-09-30,6
2026-10-31,6
