Date,Predicted Sales
2024-01-31,328
2024-02-29,298
2024-03-31,325
2024-04-30,324
2024-05-31,341
2024-06-30,287
2024-07-31,288
2024-08-31,285
2024-09-30,270
2024-10-31,279
2024-11-30,316
2024-12-31,294
2025-01-31,328
2025-02-28,308
2025-03-31,333
2025-04-30,332
2025-05-31,354
2025-06-30,296
2025-07-31,296
2025-08-31,295
2025-09-30,276
2025-10-31,292
2025-11-30,329
2025-12-31,300
2026-01-31,339
2026-02-28,317
2026-03-31,344
2026-04-30,343
2026-05-31,363
2026-06-30,305
2026-07-31,307
2026-08-31,305
2026-09-30,290
2026-10-31,298
2026-11-30,335
2026-12-31,312
2027-01-31,348
2027-02-28,327
2027-03-31,353
2027-04-30,353
2027-05-31,372
2027-06-30,314
2027-07-31,315
2027-08-31,313
2027-09-30,298
2027-10-31,309
2027-11-30,346
2027-12-31,321
2028-01-31,357
2028-02-29,332
2028-03-31,364
2028-04-30,363
2028-05-31,381
2028-06-30,324
2028-07-31,325
2028-08-31,323
2028-09-30,309
