Date,Predicted Sales
2024-01-31,231
2024-02-29,234
2024-03-31,248
2024-04-30,201
2024-05-31,255
2024-06-30,247
2024-07-31,232
2024-08-31,233
2024-09-30,210
2024-10-31,266
2024-11-30,197
2024-12-31,204
2025-01-31,257
2025-02-28,255
2025-03-31,250
2025-04-30,209
2025-05-31,274
2025-06-30,283
2025-07-31,243
2025-08-31,246
2025-09-30,223
2025-10-31,277
2025-11-30,218
2025-12-31,236
2026-01-31,274
2026-02-28,275
2026-03-31,279
2026-04-30,231
2026-05-31,306
2026-06-30,320
2026-07-31,268
2026-08-31,270
2026-09-30,246
2026-10-31,295
2026-11-30,245
2026-12-31,268
2027-01-31,306
2027-02-28,306
2027-03-31,310
2027-04-30,264
2027-05-31,329
2027-06-30,337
2027-07-31,299
2027-08-31,300
2027-09-30,278
2027-10-31,330
2027-11-30,273
2027-12-31,288
2028-01-31,331
2028-02-29,332
2028-03-31,331
2028-04-30,284
2028-05-31,356
2028-06-30,367
2028-07-31,324
2028-08-31,326
2028-09-30,299
