Date,Predicted Sales
2022-09-30,4
2022-10-31,12
2022-11-30,7
2022-12-31,5
2023-01-31,6
2023-02-28,6
2023-03-31,6
2023-04-30,6
2023-05-31,6
2023-06-30,6
2023-07-31,6
2023-08-31,10
2023-09-30,7
2023-10-31,17
2023-11-30,8
2023-12-31,8
2024-01-31,8
2024-02-29,8
2024-03-31,8
2024-04-30,8
2024-05-31,8
2024-06-30,8
2024-07-31,8
2024-08-31,16
2024-09-30,11
2024-10-31,19
2024-11-30,13
2024-12-31,12
2025-01-31,12
2025-02-28,12
2025-03-31,12
2025-04-30,12
2025-05-31,12
2025-06-30,12
2025-07-31,12
2025-08-31,18
2025-09-30,14
2025-10-31,23
2025-11-30,16
2025-12-31,15
2026-01-31,15
2026-02-28,15
2026-03-31,15
2026-04-30,15
2026-05-31,15
2026-06-30,15
2026-07-31,15
2026-08-31,22
2026-09-30,18
2026-10-31,27
2026-11-30,19
2026-12-31,19
2027-01-31,19
2027-02-28,19
2027-03-31,19
2027-04-30,19
2027-05-31,19
