Date,Predicted Sales
2023-07-31,1
2023-08-31,1
2023-09-30,1
2023-10-31,1
2023-11-30,1
2023-12-31,1
2024-01-31,12
2024-02-29,8
2024-03-31,1
2024-04-30,1
2024-05-31,1
2024-06-30,2
2024-07-31,1
2024-08-31,2
2024-09-30,2
2024-10-31,2
2024-11-30,2
2024-12-31,1
2025-01-31,15
2025-02-28,6
2025-03-31,2
2025-04-30,1
2025-05-31,1
2025-06-30,3
2025-07-31,2
2025-08-31,2
2025-09-30,2
2025-10-31,2
2025-11-30,2
2025-12-31,2
2026-01-31,15
2026-02-28,8
2026-03-31,2
2026-04-30,2
2026-05-31,2
2026-06-30,3
2026-07-31,2
2026-08-31,3
2026-09-30,3
2026-10-31,3
2026-11-30,3
2026-12-31,3
2027-01-31,16
2027-02-28,8
2027-03-31,3
2027-04-30,3
2027-05-31,3
2027-06-30,4
2027-07-31,3
2027-08-31,3
2027-09-30,4
2027-10-31,4
2027-11-30,4
2027-12-31,3
2028-01-31,16
