Date,Predicted Sales
2024-01-31,3
2024-02-29,2
2024-03-31,4
2024-04-30,6
2024-05-31,1
2024-06-30,1
2024-07-31,2
2024-08-31,2
2024-09-30,1
2024-10-31,5
2024-11-30,2
2024-12-31,2
2025-01-31,3
2025-02-28,2
2025-03-31,4
2025-04-30,6
2025-05-31,2
2025-06-30,2
2025-07-31,2
2025-08-31,2
2025-09-30,2
2025-10-31,6
2025-11-30,2
2025-12-31,2
2026-01-31,3
2026-02-28,2
2026-03-31,3
2026-04-30,5
2026-05-31,2
2026-06-30,2
2026-07-31,2
2026-08-31,2
2026-09-30,2
2026-10-31,7
2026-11-30,2
2026-12-31,2
2027-01-31,3
2027-02-28,2
2027-03-31,4
2027-04-30,5
2027-05-31,2
2027-06-30,2
2027-07-31,2
2027-08-31,2
2027-09-30,2
2027-10-31,7
2027-11-30,2
2027-12-31,3
2028-01-31,3
2028-02-29,2
2028-03-31,4
2028-04-30,6
2028-05-31,2
2028-06-30,2
2028-07-31,2
2028-08-31,2
2028-09-30,2
