Date,Predicted Sales
2023-04-30,2
2023-05-31,2
2023-06-30,2
2023-07-31,2
2023-08-31,2
2023-09-30,2
2023-10-31,2
2023-11-30,2
2023-12-31,2
2024-01-31,2
2024-02-29,6
2024-03-31,8
2024-04-30,3
2024-05-31,3
2024-06-30,3
2024-07-31,3
2024-08-31,3
2024-09-30,3
2024-10-31,3
2024-11-30,3
2024-12-31,3
2025-01-31,3
2025-02-28,6
2025-03-31,8
2025-04-30,4
2025-05-31,4
2025-06-30,4
2025-07-31,4
2025-08-31,4
2025-09-30,4
2025-10-31,4
2025-11-30,4
2025-12-31,4
2026-01-31,4
2026-02-28,6
2026-03-31,11
2026-04-30,5
2026-05-31,5
2026-06-30,5
2026-07-31,5
2026-08-31,5
2026-09-30,5
2026-10-31,5
2026-11-30,5
2026-12-31,5
2027-01-31,5
2027-02-28,8
2027-03-31,12
2027-04-30,6
2027-05-31,6
