Date,Predicted Sales
2024-01-31,143
2024-02-29,116
2024-03-31,104
2024-04-30,130
2024-05-31,99
2024-06-30,141
2024-07-31,173
2024-08-31,82
2024-09-30,110
2024-10-31,130
2024-11-30,168
2024-12-31,143
2025-01-31,134
2025-02-28,129
2025-03-31,115
2025-04-30,111
2025-05-31,102
2025-06-30,135
2025-07-31,140
2025-08-31,92
2025-09-30,109
2025-10-31,127
2025-11-30,170
2025-12-31,127
2026-01-31,133
2026-02-28,118
2026-03-31,117
2026-04-30,119
2026-05-31,104
2026-06-30,113
2026-07-31,149
2026-08-31,90
2026-09-30,111
2026-10-31,123
2026-11-30,163
2026-12-31,115
2027-01-31,128
2027-02-28,113
2027-03-31,109
2027-04-30,117
2027-05-31,96
2027-06-30,111
2027-07-31,149
2027-08-31,82
2027-09-30,105
2027-10-31,118
2027-11-30,157
2027-12-31,115
2028-01-31,123
2028-02-29,109
2028-03-31,102
2028-04-30,109
2028-05-31,92
2028-06-30,111
2028-07-31,140
2028-08-31,76
2028-09-30,100
