Date,Predicted Sales
2024-01-31,740
2024-02-29,629
2024-03-31,753
2024-04-30,744
2024-05-31,757
2024-06-30,721
2024-07-31,760
2024-08-31,728
2024-09-30,720
2024-10-31,768
2024-11-30,652
2024-12-31,725
2025-01-31,760
2025-02-28,648
2025-03-31,747
2025-04-30,735
2025-05-31,760
2025-06-30,703
2025-07-31,734
2025-08-31,742
2025-09-30,703
2025-10-31,747
2025-11-30,648
2025-12-31,734
2026-01-31,751
2026-02-28,639
2026-03-31,744
2026-04-30,731
2026-05-31,754
2026-06-30,701
2026-07-31,733
2026-08-31,734
2026-09-30,700
2026-10-31,745
2026-11-30,643
2026-12-31,726
2027-01-31,746
2027-02-28,636
2027-03-31,739
2027-04-30,727
2027-05-31,749
2027-06-30,695
2027-07-31,727
2027-08-31,729
2027-09-30,694
2027-10-31,739
2027-11-30,639
2027-12-31,722
2028-01-31,741
2028-02-29,631
2028-03-31,735
2028-04-30,722
2028-05-31,744
2028-06-30,690
2028-07-31,723
2028-08-31,724
2028-09-30,690
