Date,Predicted Sales
2024-01-31,755
2024-02-29,953
2024-03-31,830
2024-04-30,755
2024-05-31,825
2024-06-30,771
2024-07-31,792
2024-08-31,782
2024-09-30,796
2024-10-31,899
2024-11-30,869
2024-12-31,783
2025-01-31,760
2025-02-28,949
2025-03-31,820
2025-04-30,759
2025-05-31,827
2025-06-30,768
2025-07-31,789
2025-08-31,782
2025-09-30,796
2025-10-31,896
2025-11-30,867
2025-12-31,782
2026-01-31,759
2026-02-28,947
2026-03-31,818
2026-04-30,758
2026-05-31,825
2026-06-30,766
2026-07-31,787
2026-08-31,781
2026-09-30,794
2026-10-31,895
2026-11-30,866
2026-12-31,781
2027-01-31,758
2027-02-28,946
2027-03-31,817
2027-04-30,757
2027-05-31,824
2027-06-30,765
2027-07-31,786
2027-08-31,779
2027-09-30,793
2027-10-31,894
2027-11-30,865
2027-12-31,780
2028-01-31,756
2028-02-29,944
2028-03-31,816
2028-04-30,756
2028-05-31,823
2028-06-30,764
2028-07-31,785
2028-08-31,778
2028-09-30,792
