Date,Predicted Sales
2024-01-31,767
2024-02-29,655
2024-03-31,854
2024-04-30,654
2024-05-31,708
2024-06-30,728
2024-07-31,665
2024-08-31,689
2024-09-30,754
2024-10-31,753
2024-11-30,742
2024-12-31,779
2025-01-31,752
2025-02-28,651
2025-03-31,813
2025-04-30,637
2025-05-31,681
2025-06-30,712
2025-07-31,625
2025-08-31,670
2025-09-30,695
2025-10-31,740
2025-11-30,707
2025-12-31,748
2026-01-31,730
2026-02-28,617
2026-03-31,786
2026-04-30,607
2026-05-31,670
2026-06-30,685
2026-07-31,602
2026-08-31,635
2026-09-30,664
2026-10-31,711
2026-11-30,681
2026-12-31,719
2027-01-31,699
2027-02-28,592
2027-03-31,763
2027-04-30,581
2027-05-31,636
2027-06-30,658
2027-07-31,576
2027-08-31,613
2027-09-30,647
2027-10-31,684
2027-11-30,656
2027-12-31,696
2028-01-31,675
2028-02-29,567
2028-03-31,735
2028-04-30,555
2028-05-31,613
2028-06-30,634
2028-07-31,549
2028-08-31,586
2028-09-30,616
