Date,Predicted Sales
2024-01-31,929
2024-02-29,912
2024-03-31,1064
2024-04-30,951
2024-05-31,1045
2024-06-30,933
2024-07-31,1015
2024-08-31,948
2024-09-30,926
2024-10-31,937
2024-11-30,1024
2024-12-31,1068
2025-01-31,892
2025-02-28,948
2025-03-31,1109
2025-04-30,896
2025-05-31,1094
2025-06-30,1082
2025-07-31,1020
2025-08-31,971
2025-09-30,967
2025-10-31,964
2025-11-30,1125
2025-12-31,1052
2026-01-31,965
2026-02-28,1022
2026-03-31,1051
2026-04-30,1003
2026-05-31,1141
2026-06-30,1145
2026-07-31,1135
2026-08-31,1112
2026-09-30,1059
2026-10-31,1093
2026-11-30,1171
2026-12-31,1213
2027-01-31,1090
2027-02-28,1113
2027-03-31,1229
2027-04-30,1115
2027-05-31,1246
2027-06-30,1188
2027-07-31,1216
2027-08-31,1166
2027-09-30,1134
2027-10-31,1149
2027-11-30,1251
2027-12-31,1273
2028-01-31,1124
2028-02-29,1174
2028-03-31,1297
2028-04-30,1141
2028-05-31,1312
2028-06-30,1289
2028-07-31,1265
2028-08-31,1220
2028-09-30,1196
