Date,Predicted Sales
2024-01-31,781
2024-02-29,769
2024-03-31,979
2024-04-30,901
2024-05-31,862
2024-06-30,865
2024-07-31,846
2024-08-31,923
2024-09-30,905
2024-10-31,871
2024-11-30,822
2024-12-31,883
2025-01-31,805
2025-02-28,826
2025-03-31,974
2025-04-30,905
2025-05-31,855
2025-06-30,813
2025-07-31,867
2025-08-31,833
2025-09-30,959
2025-10-31,864
2025-11-30,850
2025-12-31,903
2026-01-31,855
2026-02-28,829
2026-03-31,971
2026-04-30,878
2026-05-31,842
2026-06-30,841
2026-07-31,919
2026-08-31,890
2026-09-30,945
2026-10-31,914
2026-11-30,873
2026-12-31,926
2027-01-31,853
2027-02-28,839
2027-03-31,1008
2027-04-30,931
2027-05-31,893
2027-06-30,887
2027-07-31,916
2027-08-31,933
2027-09-30,965
2027-10-31,926
2027-11-30,885
2027-12-31,942
2028-01-31,871
2028-02-29,869
2028-03-31,1018
2028-04-30,950
2028-05-31,908
2028-06-30,886
2028-07-31,932
2028-08-31,918
2028-09-30,994
