Date,Predicted Sales
2024-01-31,829
2024-02-29,785
2024-03-31,825
2024-04-30,839
2024-05-31,865
2024-06-30,873
2024-07-31,789
2024-08-31,871
2024-09-30,793
2024-10-31,850
2024-11-30,885
2024-12-31,782
2025-01-31,923
2025-02-28,806
2025-03-31,839
2025-04-30,819
2025-05-31,822
2025-06-30,951
2025-07-31,719
2025-08-31,888
2025-09-30,874
2025-10-31,883
2025-11-30,851
2025-12-31,791
2026-01-31,871
2026-02-28,749
2026-03-31,808
2026-04-30,862
2026-05-31,877
2026-06-30,917
2026-07-31,876
2026-08-31,901
2026-09-30,891
2026-10-31,878
2026-11-30,873
2026-12-31,858
2027-01-31,892
2027-02-28,807
2027-03-31,854
2027-04-30,873
2027-05-31,890
2027-06-30,931
2027-07-31,840
2027-08-31,913
2027-09-30,871
2027-10-31,893
2027-11-30,904
2027-12-31,841
2028-01-31,933
2028-02-29,829
2028-03-31,871
2028-04-30,875
2028-05-31,885
2028-06-30,968
2028-07-31,818
2028-08-31,926
2028-09-30,902
