Date,Predicted Sales
2024-01-31,774
2024-02-29,782
2024-03-31,586
2024-04-30,782
2024-05-31,664
2024-06-30,624
2024-07-31,706
2024-08-31,719
2024-09-30,673
2024-10-31,702
2024-11-30,788
2024-12-31,785
2025-01-31,756
2025-02-28,673
2025-03-31,593
2025-04-30,757
2025-05-31,658
2025-06-30,750
2025-07-31,679
2025-08-31,785
2025-09-30,657
2025-10-31,704
2025-11-30,689
2025-12-31,769
2026-01-31,665
2026-02-28,652
2026-03-31,589
2026-04-30,697
2026-05-31,562
2026-06-30,704
2026-07-31,678
2026-08-31,718
2026-09-30,626
2026-10-31,656
2026-11-30,626
2026-12-31,667
2027-01-31,647
2027-02-28,614
2027-03-31,485
2027-04-30,656
2027-05-31,554
2027-06-30,590
2027-07-31,590
2027-08-31,646
2027-09-30,564
2027-10-31,596
2027-11-30,620
2027-12-31,659
2028-01-31,607
2028-02-29,561
2028-03-31,479
2028-04-30,618
2028-05-31,505
2028-06-30,611
2028-07-31,568
2028-08-31,637
2028-09-30,539
