Date,Predicted Sales
2024-01-31,834
2024-02-29,724
2024-03-31,917
2024-04-30,802
2024-05-31,836
2024-06-30,866
2024-07-31,820
2024-08-31,922
2024-09-30,836
2024-10-31,884
2024-11-30,882
2024-12-31,872
2025-01-31,801
2025-02-28,826
2025-03-31,937
2025-04-30,826
2025-05-31,797
2025-06-30,852
2025-07-31,833
2025-08-31,895
2025-09-30,843
2025-10-31,966
2025-11-30,873
2025-12-31,884
2026-01-31,804
2026-02-28,815
2026-03-31,952
2026-04-30,838
2026-05-31,806
2026-06-30,863
2026-07-31,837
2026-08-31,901
2026-09-30,851
2026-10-31,972
2026-11-30,882
2026-12-31,892
2027-01-31,811
2027-02-28,823
2027-03-31,960
2027-04-30,846
2027-05-31,814
2027-06-30,871
2027-07-31,845
2027-08-31,908
2027-09-30,858
2027-10-31,978
2027-11-30,889
2027-12-31,900
2028-01-31,819
2028-02-29,831
2028-03-31,967
2028-04-30,854
2028-05-31,822
2028-06-30,878
2028-07-31,852
2028-08-31,915
2028-09-30,865
