Date,Predicted Sales
2024-01-31,794
2024-02-29,736
2024-03-31,729
2024-04-30,700
2024-05-31,723
2024-06-30,708
2024-07-31,847
2024-08-31,720
2024-09-30,810
2024-10-31,754
2024-11-30,746
2024-12-31,768
2025-01-31,751
2025-02-28,707
2025-03-31,710
2025-04-30,692
2025-05-31,729
2025-06-30,705
2025-07-31,836
2025-08-31,708
2025-09-30,800
2025-10-31,747
2025-11-30,739
2025-12-31,761
2026-01-31,742
2026-02-28,700
2026-03-31,703
2026-04-30,686
2026-05-31,721
2026-06-30,697
2026-07-31,828
2026-08-31,699
2026-09-30,792
2026-10-31,739
2026-11-30,731
2026-12-31,752
2027-01-31,735
2027-02-28,694
2027-03-31,698
2027-04-30,680
2027-05-31,713
2027-06-30,689
2027-07-31,820
2027-08-31,691
2027-09-30,784
2027-10-31,731
2027-11-30,723
2027-12-31,744
2028-01-31,728
2028-02-29,689
2028-03-31,693
2028-04-30,675
2028-05-31,705
2028-06-30,681
2028-07-31,813
2028-08-31,683
2028-09-30,776
