Date,Predicted Sales
2024-01-31,910
2024-02-29,848
2024-03-31,983
2024-04-30,922
2024-05-31,953
2024-06-30,902
2024-07-31,900
2024-08-31,915
2024-09-30,968
2024-10-31,999
2024-11-30,901
2024-12-31,972
2025-01-31,944
2025-02-28,868
2025-03-31,1000
2025-04-30,948
2025-05-31,975
2025-06-30,926
2025-07-31,924
2025-08-31,937
2025-09-30,989
2025-10-31,1021
2025-11-30,924
2025-12-31,991
2026-01-31,967
2026-02-28,891
2026-03-31,1022
2026-04-30,970
2026-05-31,993
2026-06-30,949
2026-07-31,947
2026-08-31,958
2026-09-30,1010
2026-10-31,1043
2026-11-30,945
2026-12-31,1012
2027-01-31,986
2027-02-28,913
2027-03-31,1044
2027-04-30,990
2027-05-31,1015
2027-06-30,971
2027-07-31,968
2027-08-31,979
2027-09-30,1032
2027-10-31,1064
2027-11-30,966
2027-12-31,1033
2028-01-31,1007
2028-02-29,936
2028-03-31,1065
2028-04-30,1011
2028-05-31,1036
2028-06-30,991
2028-07-31,988
2028-08-31,1000
2028-09-30,1053
