Date,Predicted Sales
2024-01-31,823
2024-02-29,742
2024-03-31,811
2024-04-30,721
2024-05-31,789
2024-06-30,801
2024-07-31,816
2024-08-31,786
2024-09-30,716
2024-10-31,831
2024-11-30,823
2024-12-31,786
2025-01-31,798
2025-02-28,743
2025-03-31,834
2025-04-30,767
2025-05-31,784
2025-06-30,764
2025-07-31,823
2025-08-31,758
2025-09-30,694
2025-10-31,846
2025-11-30,802
2025-12-31,767
2026-01-31,797
2026-02-28,736
2026-03-31,823
2026-04-30,750
2026-05-31,779
2026-06-30,766
2026-07-31,815
2026-08-31,756
2026-09-30,691
2026-10-31,837
2026-11-30,800
2026-12-31,764
2027-01-31,791
2027-02-28,730
2027-03-31,819
2027-04-30,746
2027-05-31,773
2027-06-30,759
2027-07-31,810
2027-08-31,749
2027-09-30,684
2027-10-31,834
2027-11-30,794
2027-12-31,758
2028-01-31,786
2028-02-29,724
2028-03-31,814
2028-04-30,740
2028-05-31,768
2028-06-30,754
2028-07-31,804
2028-08-31,742
2028-09-30,678
