Date,Predicted Sales
2024-01-31,867
2024-02-29,883
2024-03-31,933
2024-04-30,785
2024-05-31,855
2024-06-30,811
2024-07-31,963
2024-08-31,828
2024-09-30,810
2024-10-31,910
2024-11-30,805
2024-12-31,918
2025-01-31,931
2025-02-28,791
2025-03-31,903
2025-04-30,827
2025-05-31,866
2025-06-30,883
2025-07-31,935
2025-08-31,840
2025-09-30,789
2025-10-31,923
2025-11-30,834
2025-12-31,865
2026-01-31,929
2026-02-28,804
2026-03-31,936
2026-04-30,869
2026-05-31,958
2026-06-30,826
2026-07-31,953
2026-08-31,869
2026-09-30,860
2026-10-31,1003
2026-11-30,805
2026-12-31,904
2027-01-31,944
2027-02-28,883
2027-03-31,977
2027-04-30,872
2027-05-31,942
2027-06-30,871
2027-07-31,1002
2027-08-31,892
2027-09-30,874
2027-10-31,995
2027-11-30,852
2027-12-31,950
2028-01-31,982
2028-02-29,876
2028-03-31,983
2028-04-30,894
2028-05-31,952
2028-06-30,913
2028-07-31,1011
2028-08-31,909
2028-09-30,878
