Date,Predicted Sales
2024-01-31,666
2024-02-29,624
2024-03-31,589
2024-04-30,704
2024-05-31,612
2024-06-30,736
2024-07-31,773
2024-08-31,750
2024-09-30,679
2024-10-31,581
2024-11-30,717
2024-12-31,754
2025-01-31,679
2025-02-28,624
2025-03-31,659
2025-04-30,648
2025-05-31,541
2025-06-30,666
2025-07-31,740
2025-08-31,638
2025-09-30,717
2025-10-31,644
2025-11-30,624
2025-12-31,777
2026-01-31,617
2026-02-28,608
2026-03-31,575
2026-04-30,582
2026-05-31,583
2026-06-30,641
2026-07-31,687
2026-08-31,631
2026-09-30,603
2026-10-31,580
2026-11-30,669
2026-12-31,590
2027-01-31,577
2027-02-28,548
2027-03-31,525
2027-04-30,592
2027-05-31,527
2027-06-30,639
2027-07-31,674
2027-08-31,618
2027-09-30,585
2027-10-31,519
2027-11-30,623
2027-12-31,620
2028-01-31,564
2028-02-29,526
2028-03-31,531
2028-04-30,550
2028-05-31,468
2028-06-30,584
2028-07-31,644
2028-08-31,562
2028-09-30,584
