Date,Predicted Sales
2024-01-31,753
2024-02-29,677
2024-03-31,760
2024-04-30,764
2024-05-31,703
2024-06-30,730
2024-07-31,752
2024-08-31,782
2024-09-30,721
2024-10-31,712
2024-11-30,751
2024-12-31,712
2025-01-31,778
2025-02-28,708
2025-03-31,737
2025-04-30,727
2025-05-31,681
2025-06-30,732
2025-07-31,763
2025-08-31,768
2025-09-30,710
2025-10-31,704
2025-11-30,742
2025-12-31,711
2026-01-31,772
2026-02-28,695
2026-03-31,727
2026-04-30,717
2026-05-31,674
2026-06-30,727
2026-07-31,760
2026-08-31,761
2026-09-30,699
2026-10-31,694
2026-11-30,735
2026-12-31,703
2027-01-31,766
2027-02-28,685
2027-03-31,717
2027-04-30,707
2027-05-31,664
2027-06-30,721
2027-07-31,755
2027-08-31,751
2027-09-30,689
2027-10-31,684
2027-11-30,726
2027-12-31,693
2028-01-31,757
2028-02-29,675
2028-03-31,707
2028-04-30,697
2028-05-31,654
2028-06-30,713
2028-07-31,748
2028-08-31,741
2028-09-30,679
