Date,Predicted Sales
2024-01-31,918
2024-02-29,824
2024-03-31,773
2024-04-30,908
2024-05-31,917
2024-06-30,923
2024-07-31,907
2024-08-31,974
2024-09-30,736
2024-10-31,816
2024-11-30,777
2024-12-31,781
2025-01-31,1041
2025-02-28,828
2025-03-31,829
2025-04-30,875
2025-05-31,927
2025-06-30,940
2025-07-31,798
2025-08-31,918
2025-09-30,713
2025-10-31,901
2025-11-30,728
2025-12-31,874
2026-01-31,1002
2026-02-28,860
2026-03-31,831
2026-04-30,931
2026-05-31,957
2026-06-30,965
2026-07-31,899
2026-08-31,987
2026-09-30,730
2026-10-31,878
2026-11-30,786
2026-12-31,851
2027-01-31,1060
2027-02-28,876
2027-03-31,867
2027-04-30,933
2027-05-31,975
2027-06-30,986
2027-07-31,871
2027-08-31,981
2027-09-30,731
2027-10-31,928
2027-11-30,781
2027-12-31,900
2028-01-31,1061
2028-02-29,903
2028-03-31,881
2028-04-30,968
2028-05-31,1000
2028-06-30,1008
2028-07-31,925
2028-08-31,1020
2028-09-30,751
