Date,Predicted Sales
2024-01-31,825
2024-02-29,798
2024-03-31,791
2024-04-30,751
2024-05-31,727
2024-06-30,803
2024-07-31,791
2024-08-31,754
2024-09-30,768
2024-10-31,828
2024-11-30,693
2024-12-31,765
2025-01-31,849
2025-02-28,739
2025-03-31,775
2025-04-30,706
2025-05-31,714
2025-06-30,828
2025-07-31,708
2025-08-31,724
2025-09-30,684
2025-10-31,765
2025-11-30,646
2025-12-31,753
2026-01-31,833
2026-02-28,690
2026-03-31,741
2026-04-30,689
2026-05-31,702
2026-06-30,728
2026-07-31,716
2026-08-31,750
2026-09-30,706
2026-10-31,757
2026-11-30,681
2026-12-31,686
2027-01-31,780
2027-02-28,705
2027-03-31,728
2027-04-30,682
2027-05-31,676
2027-06-30,740
2027-07-31,705
2027-08-31,703
2027-09-30,684
2027-10-31,748
2027-11-30,640
2027-12-31,693
2028-01-31,774
2028-02-29,678
2028-03-31,713
2028-04-30,659
2028-05-31,662
2028-06-30,732
2028-07-31,674
2028-08-31,688
2028-09-30,655
