Date,Predicted Sales
2024-01-31,768
2024-02-29,651
2024-03-31,683
2024-04-30,680
2024-05-31,693
2024-06-30,654
2024-07-31,748
2024-08-31,689
2024-09-30,621
2024-10-31,777
2024-11-30,691
2024-12-31,746
2025-01-31,748
2025-02-28,633
2025-03-31,698
2025-04-30,666
2025-05-31,691
2025-06-30,642
2025-07-31,741
2025-08-31,676
2025-09-30,620
2025-10-31,764
2025-11-30,682
2025-12-31,730
2026-01-31,736
2026-02-28,623
2026-03-31,685
2026-04-30,656
2026-05-31,679
2026-06-30,630
2026-07-31,728
2026-08-31,666
2026-09-30,607
2026-10-31,751
2026-11-30,669
2026-12-31,718
2027-01-31,724
2027-02-28,614
2027-03-31,675
2027-04-30,645
2027-05-31,669
2027-06-30,619
2027-07-31,716
2027-08-31,655
2027-09-30,595
2027-10-31,738
2027-11-30,657
2027-12-31,706
2028-01-31,713
2028-02-29,605
2028-03-31,665
2028-04-30,636
2028-05-31,659
2028-06-30,609
2028-07-31,705
2028-08-31,646
2028-09-30,585
