Date,Predicted Sales
2024-01-31,827
2024-02-29,768
2024-03-31,821
2024-04-30,737
2024-05-31,944
2024-06-30,771
2024-07-31,722
2024-08-31,880
2024-09-30,727
2024-10-31,715
2024-11-30,750
2024-12-31,673
2025-01-31,782
2025-02-28,868
2025-03-31,815
2025-04-30,751
2025-05-31,842
2025-06-30,757
2025-07-31,727
2025-08-31,873
2025-09-30,791
2025-10-31,714
2025-11-30,770
2025-12-31,619
2026-01-31,798
2026-02-28,779
2026-03-31,832
2026-04-30,746
2026-05-31,847
2026-06-30,799
2026-07-31,713
2026-08-31,853
2026-09-30,773
2026-10-31,686
2026-11-30,764
2026-12-31,636
2027-01-31,780
2027-02-28,785
2027-03-31,798
2027-04-30,720
2027-05-31,852
2027-06-30,744
2027-07-31,697
2027-08-31,842
2027-09-30,737
2027-10-31,685
2027-11-30,735
2027-12-31,618
2028-01-31,766
2028-02-29,788
2028-03-31,797
2028-04-30,719
2028-05-31,817
2028-06-30,748
2028-07-31,691
2028-08-31,829
2028-09-30,749
