Product,MAE,MSE,RMSE,MAPE
Ties,342.3333333333333,144047.88888888888,379.53641312644675,19.692442668971438
Loafers,84.88888888888889,10978.222222222223,104.77701189775466,10.079167165088238
Oversized Hoodie,135.0,25732.777777777777,160.4143939232941,15.602202666944756
Utility Jacket,160.66666666666666,37360.22222222222,193.28792570210436,19.058382915069807
Gloves,146.33333333333334,28174.11111111111,167.8514554929778,17.596728243692862
Wallets,135.88888888888889,28888.555555555555,169.9663365362552,15.645145902982776
Bowties,138.55555555555554,25815.666666666668,160.6725448440606,9.520428846256525
Regular Fit Jacket,134.11111111111111,27884.333333333332,166.9860273595768,16.86728290421522
Linen Shirts,119.66666666666667,26261.0,162.0524606416083,13.060419602650624
Posters,117.33333333333333,17740.666666666668,133.1940939631584,14.966466488345034
Cotton Blazer,165.88888888888889,36320.11111111111,190.5783595036727,18.411435121530452
Cardigans,83.33333333333333,14806.222222222223,121.680821094461,13.413653174868559
Regular Fit T-Shirt,71.44444444444444,7204.111111111111,84.87703523987575,8.902840472164792
Straight Jeans,183.66666666666666,46949.444444444445,216.67820482098435,20.494657707022622
Wool Trousers,216.66666666666666,58333.555555555555,241.52340581309207,24.603531199723353
Bags,164.44444444444446,32852.444444444445,181.25243293386285,19.73774257892313
Slim Fit Vest Top,180.22222222222223,50720.22222222222,225.21150552807515,20.58949842252301
Quilted Jacket,82.22222222222223,13888.444444444445,117.84924456458957,10.015036511045398
Wool-Cotton Jacket,233.0,64390.555555555555,253.75294196433578,25.66325573351913
Fluffy Jacket,207.33333333333334,50148.666666666664,223.93897978392835,24.326678969765787
Puffer Jacket,207.33333333333334,65041.333333333336,255.03202413291814,23.413047289890493
Slim Fit Suit Trousers,164.0,41257.11111111111,203.11846570686552,18.081876090800904
Sandals,67.66666666666667,7115.666666666667,84.35441106822255,8.5566037386733
Cap,198.11111111111111,53469.22222222222,231.2341285844765,22.222515096417162
Regular Fit Suit Trousers,126.77777777777777,25818.333333333332,160.6808430813497,14.40871588888648
Trainers,73.22222222222223,6950.333333333333,83.36865917917436,9.472631592297645
Belts,139.33333333333334,26982.666666666668,164.26401513011507,18.052087080785487
Bras,80.44444444444444,10090.444444444445,100.45120429564021,10.947296807978406
Regular Jeans,110.33333333333333,17675.88888888889,132.9507009717846,12.920758363095953
Overshirt,133.33333333333334,27020.444444444445,164.37896594286158,16.065206620546416
Knickers,133.66666666666666,28756.555555555555,169.5775797549769,15.671296598287284
Denim Jacket,145.88888888888889,39581.666666666664,198.95141785538164,16.094870505018978
Boxers,94.66666666666667,14440.444444444445,120.16840035735038,12.310731912265423
Jumpers,161.33333333333334,30073.333333333332,173.4166466442404,19.057711400643743
Trunks,116.88888888888889,17401.11111111111,131.9132711712931,15.410627606691751
Chelsea Boots,107.77777777777777,22349.777777777777,149.49842065312188,16.910009229152877
Joggers,126.88888888888889,21925.777777777777,148.07355529525782,15.285791333622342
Baggy Fit Jeans,78.44444444444444,11562.222222222223,107.52777418984465,9.625389269514134
Sunglasses,112.66666666666667,20510.666666666668,143.21545540431964,12.90301361210456
Leggings,98.0,14701.111111111111,121.248138588232,11.411076320172638
Tapered Fit Jeans,110.0,21978.0,148.24978920727003,12.51012120798953
Standard Sweatshirt,135.88888888888889,29015.444444444445,170.3392040736496,16.614500020882243
Cargo Trousers,144.88888888888889,30275.555555555555,173.99872285610476,16.707257093525907
Slim Fit Jeans,65.33333333333333,5766.666666666667,75.93857166596345,8.602463340313014
Linen Trousers,134.33333333333334,21748.555555555555,147.4739148309136,15.67505996398303
Slippers,70.88888888888889,6110.666666666667,78.17075326915219,8.81964834811293
Regular Fit Sweatpants,160.88888888888889,41040.666666666664,202.58496160047682,17.301275862654386
Double-Breasted Coat,143.77777777777777,33026.22222222222,181.7311812051587,15.965753866486985
Slides,177.33333333333334,44921.555555555555,211.94705837910456,20.17479324760958
Cushion Covers,165.22222222222223,36005.666666666664,189.75159200034835,19.83760306624478
Derby Shoes,107.88888888888889,19278.777777777777,138.8480384369105,13.874281301129049
Loose Fit Hoodie,112.44444444444444,14771.777777777777,121.53920263757607,13.771938775802084
Candle,62.22222222222222,6984.666666666667,83.57431822436045,9.435618133820368
Wool-Cotton Trousers,130.55555555555554,26070.777777777777,161.4644783776846,15.41235836757083
Loose Fit T-Shirt,105.22222222222223,13444.333333333334,115.94970173887182,14.270145246951968
Mirror,127.55555555555556,22766.0,150.88406145116852,15.549729827712918
Denim Shirts,137.66666666666666,23955.222222222223,154.77474671994207,17.1505993216949
Slim Fit Waistcoat,116.33333333333333,17021.222222222223,130.46540622794313,16.691520121076334
Relaxed Fit T-Shirt,145.77777777777777,24342.666666666668,156.02136605819945,18.195796552942454
Tailored Trousers,124.88888888888889,22402.444444444445,149.67446156390358,15.960343459474927
Oversized Fit T-Shirt,114.88888888888889,18944.88888888889,137.64043333588023,14.37141978172204
Shackets,157.55555555555554,33904.666666666664,184.13219888619878,18.797243722258088
Slim Fit T-Shirt,142.11111111111111,32469.0,180.19156473042793,15.39582867581418
Corduroy Trousers,121.0,19791.88888888889,140.68364826407117,14.253079639225755
Curtains,81.11111111111111,11105.333333333334,105.38184536879838,9.758738362424712
Hat,62.333333333333336,6091.666666666667,78.04912982645398,7.200660146355431
Suit Trousers,134.44444444444446,24338.444444444445,156.00783456110287,17.181671887459977
Books,133.66666666666666,20456.777777777777,143.02719244177933,16.823574961273444
Socks,89.77777777777777,11135.777777777777,105.52619474698108,10.811346862456892
Loose Fit Jeans,140.11111111111111,30713.222222222223,175.25188222162473,18.02378566980847
Tray,82.0,14991.111111111111,122.4381930245261,8.941501784989942
Relaxed Fit Jeans,104.22222222222223,16976.88888888889,130.29539089656583,11.768824929639027
Windbreaker Jacket,164.66666666666666,35872.88888888889,189.40139621684125,18.93780183364828
Inner Cushions,137.0,32442.11111111111,180.1169373243702,15.781940377907205
Slim Fit Jacket,107.0,15421.666666666666,124.18400326397385,13.382003008964627
Vase,162.44444444444446,37353.77777777778,193.27125440110794,18.82384797353479
Oxford Shirts,122.55555555555556,17779.88888888889,133.3412497649879,14.825936052929245
Regular Fit Hoodie,106.88888888888889,18799.11111111111,137.10985052544953,12.955233148832345
Lace-Up Boots,57.55555555555556,4824.0,69.45502141674135,7.861365209302025
Skirts,111.0,16948.555555555555,130.18661818925767,13.685447063074319
