Date,Predicted Sales
2024-01-31,910
2024-02-29,837
2024-03-31,838
2024-04-30,910
2024-05-31,868
2024-06-30,834
2024-07-31,795
2024-08-31,934
2024-09-30,996
2024-10-31,872
2024-11-30,848
2024-12-31,887
2025-01-31,838
2025-02-28,840
2025-03-31,894
2025-04-30,887
2025-05-31,887
2025-06-30,853
2025-07-31,794
2025-08-31,958
2025-09-30,1017
2025-10-31,882
2025-11-30,862
2025-12-31,900
2026-01-31,849
2026-02-28,852
2026-03-31,908
2026-04-30,902
2026-05-31,901
2026-06-30,865
2026-07-31,806
2026-08-31,975
2026-09-30,1039
2026-10-31,896
2026-11-30,874
2026-12-31,915
2027-01-31,861
2027-02-28,865
2027-03-31,922
2027-04-30,917
2027-05-31,917
2027-06-30,879
2027-07-31,818
2027-08-31,992
2027-09-30,1061
2027-10-31,910
2027-11-30,888
2027-12-31,931
2028-01-31,873
2028-02-29,878
2028-03-31,936
2028-04-30,931
2028-05-31,933
2028-06-30,893
2028-07-31,831
2028-08-31,1010
2028-09-30,1085
