Date,Predicted Sales
2024-01-31,695
2024-02-29,715
2024-03-31,770
2024-04-30,794
2024-05-31,797
2024-06-30,730
2024-07-31,758
2024-08-31,802
2024-09-30,765
2024-10-31,843
2024-11-30,746
2024-12-31,797
2025-01-31,688
2025-02-28,708
2025-03-31,763
2025-04-30,786
2025-05-31,789
2025-06-30,722
2025-07-31,750
2025-08-31,795
2025-09-30,757
2025-10-31,835
2025-11-30,738
2025-12-31,789
2026-01-31,681
2026-02-28,701
2026-03-31,755
2026-04-30,778
2026-05-31,781
2026-06-30,715
2026-07-31,743
2026-08-31,787
2026-09-30,749
2026-10-31,826
2026-11-30,731
2026-12-31,781
2027-01-31,674
2027-02-28,694
2027-03-31,748
2027-04-30,770
2027-05-31,773
2027-06-30,708
2027-07-31,735
2027-08-31,780
2027-09-30,741
2027-10-31,818
2027-11-30,723
2027-12-31,773
2028-01-31,666
2028-02-29,687
2028-03-31,741
2028-04-30,762
2028-05-31,765
2028-06-30,700
2028-07-31,728
2028-08-31,773
2028-09-30,734
