Date,Predicted Sales
2024-01-31,851
2024-02-29,665
2024-03-31,843
2024-04-30,746
2024-05-31,757
2024-06-30,893
2024-07-31,795
2024-08-31,822
2024-09-30,936
2024-10-31,842
2024-11-30,784
2024-12-31,892
2025-01-31,882
2025-02-28,653
2025-03-31,886
2025-04-30,827
2025-05-31,798
2025-06-30,880
2025-07-31,751
2025-08-31,861
2025-09-30,914
2025-10-31,910
2025-11-30,844
2025-12-31,824
2026-01-31,917
2026-02-28,667
2026-03-31,879
2026-04-30,805
2026-05-31,865
2026-06-30,968
2026-07-31,771
2026-08-31,868
2026-09-30,936
2026-10-31,826
2026-11-30,873
2026-12-31,897
2027-01-31,912
2027-02-28,700
2027-03-31,894
2027-04-30,817
2027-05-31,839
2027-06-30,949
2027-07-31,812
2027-08-31,877
2027-09-30,963
2027-10-31,879
2027-11-30,861
2027-12-31,912
2028-01-31,929
2028-02-29,709
2028-03-31,917
2028-04-30,852
2028-05-31,857
2028-06-30,952
2028-07-31,811
2028-08-31,898
2028-09-30,967
