Date,Predicted Sales
2024-01-31,851
2024-02-29,761
2024-03-31,741
2024-04-30,746
2024-05-31,835
2024-06-30,740
2024-07-31,835
2024-08-31,785
2024-09-30,743
2024-10-31,737
2024-11-30,796
2024-12-31,800
2025-01-31,861
2025-02-28,757
2025-03-31,762
2025-04-30,776
2025-05-31,841
2025-06-30,758
2025-07-31,812
2025-08-31,777
2025-09-30,733
2025-10-31,759
2025-11-30,790
2025-12-31,808
2026-01-31,857
2026-02-28,756
2026-03-31,755
2026-04-30,767
2026-05-31,837
2026-06-30,752
2026-07-31,815
2026-08-31,777
2026-09-30,732
2026-10-31,752
2026-11-30,789
2026-12-31,804
2027-01-31,856
2027-02-28,754
2027-03-31,754
2027-04-30,766
2027-05-31,836
2027-06-30,751
2027-07-31,812
2027-08-31,774
2027-09-30,730
2027-10-31,751
2027-11-30,787
2027-12-31,803
2028-01-31,854
2028-02-29,752
2028-03-31,752
2028-04-30,764
2028-05-31,834
2028-06-30,748
2028-07-31,810
2028-08-31,773
2028-09-30,728
