Date,Predicted Sales
2024-01-31,796
2024-02-29,615
2024-03-31,752
2024-04-30,702
2024-05-31,735
2024-06-30,695
2024-07-31,782
2024-08-31,789
2024-09-30,763
2024-10-31,698
2024-11-30,774
2024-12-31,773
2025-01-31,770
2025-02-28,642
2025-03-31,716
2025-04-30,688
2025-05-31,744
2025-06-30,678
2025-07-31,780
2025-08-31,776
2025-09-30,759
2025-10-31,692
2025-11-30,767
2025-12-31,765
2026-01-31,763
2026-02-28,635
2026-03-31,707
2026-04-30,680
2026-05-31,736
2026-06-30,669
2026-07-31,774
2026-08-31,769
2026-09-30,751
2026-10-31,683
2026-11-30,761
2026-12-31,757
2027-01-31,756
2027-02-28,627
2027-03-31,699
2027-04-30,672
2027-05-31,728
2027-06-30,660
2027-07-31,768
2027-08-31,762
2027-09-30,744
2027-10-31,674
2027-11-30,755
2027-12-31,750
2028-01-31,749
2028-02-29,619
2028-03-31,691
2028-04-30,665
2028-05-31,720
2028-06-30,651
2028-07-31,762
2028-08-31,755
2028-09-30,736
