Date,Predicted Sales
2024-01-31,882
2024-02-29,846
2024-03-31,892
2024-04-30,853
2024-05-31,951
2024-06-30,840
2024-07-31,939
2024-08-31,862
2024-09-30,817
2024-10-31,880
2024-11-30,889
2024-12-31,961
2025-01-31,925
2025-02-28,858
2025-03-31,887
2025-04-30,882
2025-05-31,976
2025-06-30,858
2025-07-31,954
2025-08-31,883
2025-09-30,836
2025-10-31,896
2025-11-30,906
2025-12-31,984
2026-01-31,943
2026-02-28,874
2026-03-31,902
2026-04-30,900
2026-05-31,996
2026-06-30,875
2026-07-31,974
2026-08-31,901
2026-09-30,855
2026-10-31,913
2026-11-30,927
2026-12-31,1009
2027-01-31,960
2027-02-28,889
2027-03-31,919
2027-04-30,919
2027-05-31,1017
2027-06-30,891
2027-07-31,995
2027-08-31,918
2027-09-30,871
2027-10-31,933
2027-11-30,950
2027-12-31,1037
2028-01-31,978
2028-02-29,906
2028-03-31,938
2028-04-30,943
2028-05-31,1039
2028-06-30,909
2028-07-31,1018
2028-08-31,935
2028-09-30,886
