Date,Predicted Sales
2024-01-31,795
2024-02-29,838
2024-03-31,891
2024-04-30,825
2024-05-31,839
2024-06-30,737
2024-07-31,940
2024-08-31,880
2024-09-30,921
2024-10-31,854
2024-11-30,941
2024-12-31,920
2025-01-31,904
2025-02-28,843
2025-03-31,933
2025-04-30,838
2025-05-31,799
2025-06-30,771
2025-07-31,950
2025-08-31,874
2025-09-30,970
2025-10-31,889
2025-11-30,923
2025-12-31,897
2026-01-31,880
2026-02-28,882
2026-03-31,950
2026-04-30,788
2026-05-31,855
2026-06-30,777
2026-07-31,1004
2026-08-31,909
2026-09-30,994
2026-10-31,900
2026-11-30,959
2026-12-31,933
2027-01-31,900
2027-02-28,907
2027-03-31,977
2027-04-30,858
2027-05-31,889
2027-06-30,811
2027-07-31,1026
2027-08-31,939
2027-09-30,1017
2027-10-31,924
2027-11-30,1001
2027-12-31,974
2028-01-31,942
2028-02-29,926
2028-03-31,1009
2028-04-30,888
2028-05-31,900
2028-06-30,841
2028-07-31,1050
2028-08-31,962
2028-09-30,1051
