Date,Predicted Sales
2024-01-31,771
2024-02-29,739
2024-03-31,822
2024-04-30,834
2024-05-31,765
2024-06-30,796
2024-07-31,866
2024-08-31,774
2024-09-30,807
2024-10-31,786
2024-11-30,792
2024-12-31,771
2025-01-31,747
2025-02-28,684
2025-03-31,832
2025-04-30,821
2025-05-31,727
2025-06-30,801
2025-07-31,867
2025-08-31,797
2025-09-30,714
2025-10-31,834
2025-11-30,852
2025-12-31,782
2026-01-31,847
2026-02-28,635
2026-03-31,860
2026-04-30,828
2026-05-31,783
2026-06-30,755
2026-07-31,780
2026-08-31,803
2026-09-30,753
2026-10-31,834
2026-11-30,831
2026-12-31,817
2027-01-31,834
2027-02-28,667
2027-03-31,846
2027-04-30,829
2027-05-31,787
2027-06-30,759
2027-07-31,792
2027-08-31,786
2027-09-30,785
2027-10-31,808
2027-11-30,803
2027-12-31,801
2028-01-31,784
2028-02-29,680
2028-03-31,831
2028-04-30,822
2028-05-31,755
2028-06-30,777
2028-07-31,828
2028-08-31,783
2028-09-30,757
