Date,Predicted Sales
2024-01-31,893
2024-02-29,884
2024-03-31,960
2024-04-30,942
2024-05-31,852
2024-06-30,883
2024-07-31,865
2024-08-31,817
2024-09-30,825
2024-10-31,894
2024-11-30,830
2024-12-31,858
2025-01-31,866
2025-02-28,862
2025-03-31,888
2025-04-30,840
2025-05-31,834
2025-06-30,881
2025-07-31,884
2025-08-31,826
2025-09-30,824
2025-10-31,903
2025-11-30,842
2025-12-31,867
2026-01-31,870
2026-02-28,850
2026-03-31,869
2026-04-30,819
2026-05-31,842
2026-06-30,891
2026-07-31,893
2026-08-31,833
2026-09-30,832
2026-10-31,912
2026-11-30,851
2026-12-31,876
2027-01-31,878
2027-02-28,844
2027-03-31,854
2027-04-30,803
2027-05-31,850
2027-06-30,900
2027-07-31,902
2027-08-31,841
2027-09-30,841
2027-10-31,921
2027-11-30,859
2027-12-31,885
2028-01-31,887
2028-02-29,844
2028-03-31,844
2028-04-30,792
2028-05-31,858
2028-06-30,909
2028-07-31,911
2028-08-31,850
2028-09-30,849
