Date,Predicted Sales
2024-01-31,861
2024-02-29,790
2024-03-31,858
2024-04-30,858
2024-05-31,876
2024-06-30,793
2024-07-31,881
2024-08-31,935
2024-09-30,851
2024-10-31,785
2024-11-30,881
2024-12-31,841
2025-01-31,878
2025-02-28,815
2025-03-31,859
2025-04-30,861
2025-05-31,872
2025-06-30,805
2025-07-31,887
2025-08-31,940
2025-09-30,855
2025-10-31,789
2025-11-30,887
2025-12-31,851
2026-01-31,886
2026-02-28,821
2026-03-31,865
2026-04-30,868
2026-05-31,879
2026-06-30,813
2026-07-31,888
2026-08-31,941
2026-09-30,861
2026-10-31,797
2026-11-30,892
2026-12-31,858
2027-01-31,893
2027-02-28,828
2027-03-31,872
2027-04-30,875
2027-05-31,886
2027-06-30,819
2027-07-31,888
2027-08-31,942
2027-09-30,869
2027-10-31,804
2027-11-30,897
2027-12-31,865
2028-01-31,899
2028-02-29,835
2028-03-31,878
2028-04-30,881
2028-05-31,892
2028-06-30,825
2028-07-31,886
2028-08-31,941
2028-09-30,875
