Date,Predicted Sales
2024-01-31,579
2024-02-29,605
2024-03-31,721
2024-04-30,705
2024-05-31,689
2024-06-30,681
2024-07-31,613
2024-08-31,792
2024-09-30,777
2024-10-31,767
2024-11-30,719
2024-12-31,714
2025-01-31,629
2025-02-28,574
2025-03-31,780
2025-04-30,807
2025-05-31,771
2025-06-30,648
2025-07-31,652
2025-08-31,761
2025-09-30,727
2025-10-31,689
2025-11-30,699
2025-12-31,678
2026-01-31,578
2026-02-28,556
2026-03-31,723
2026-04-30,730
2026-05-31,702
2026-06-30,632
2026-07-31,603
2026-08-31,744
2026-09-30,717
2026-10-31,691
2026-11-30,675
2026-12-31,661
2027-01-31,571
2027-02-28,533
2027-03-31,717
2027-04-30,731
2027-05-31,700
2027-06-30,608
2027-07-31,592
2027-08-31,719
2027-09-30,688
2027-10-31,657
2027-11-30,652
2027-12-31,634
2028-01-31,544
2028-02-29,511
2028-03-31,688
2028-04-30,698
2028-05-31,668
2028-06-30,588
2028-07-31,564
2028-08-31,697
2028-09-30,668
