Date,Predicted Sales
2024-01-31,722
2024-02-29,665
2024-03-31,624
2024-04-30,682
2024-05-31,705
2024-06-30,683
2024-07-31,640
2024-08-31,667
2024-09-30,667
2024-10-31,697
2024-11-30,663
2024-12-31,726
2025-01-31,702
2025-02-28,657
2025-03-31,605
2025-04-30,678
2025-05-31,700
2025-06-30,686
2025-07-31,651
2025-08-31,663
2025-09-30,673
2025-10-31,695
2025-11-30,662
2025-12-31,732
2026-01-31,696
2026-02-28,653
2026-03-31,615
2026-04-30,668
2026-05-31,678
2026-06-30,670
2026-07-31,639
2026-08-31,649
2026-09-30,670
2026-10-31,698
2026-11-30,652
2026-12-31,726
2027-01-31,683
2027-02-28,638
2027-03-31,600
2027-04-30,653
2027-05-31,664
2027-06-30,655
2027-07-31,622
2027-08-31,634
2027-09-30,654
2027-10-31,684
2027-11-30,638
2027-12-31,716
2028-01-31,668
2028-02-29,623
2028-03-31,583
2028-04-30,639
2028-05-31,652
2028-06-30,641
2028-07-31,609
2028-08-31,620
2028-09-30,639
