Date,Predicted Sales
2024-01-31,996
2024-02-29,867
2024-03-31,884
2024-04-30,846
2024-05-31,921
2024-06-30,889
2024-07-31,931
2024-08-31,930
2024-09-30,945
2024-10-31,936
2024-11-30,848
2024-12-31,936
2025-01-31,981
2025-02-28,898
2025-03-31,867
2025-04-30,855
2025-05-31,960
2025-06-30,960
2025-07-31,967
2025-08-31,944
2025-09-30,978
2025-10-31,1011
2025-11-30,888
2025-12-31,892
2026-01-31,1026
2026-02-28,884
2026-03-31,883
2026-04-30,906
2026-05-31,1034
2026-06-30,913
2026-07-31,966
2026-08-31,979
2026-09-30,1067
2026-10-31,1037
2026-11-30,921
2026-12-31,930
2027-01-31,1076
2027-02-28,949
2027-03-31,946
2027-04-30,935
2027-05-31,1041
2027-06-30,992
2027-07-31,1029
2027-08-31,1025
2027-09-30,1067
2027-10-31,1063
2027-11-30,954
2027-12-31,999
2028-01-31,1099
2028-02-29,979
2028-03-31,966
2028-04-30,970
2028-05-31,1083
2028-06-30,1032
2028-07-31,1062
2028-08-31,1055
2028-09-30,1106
