Date,Predicted Sales
2024-01-31,733
2024-02-29,635
2024-03-31,740
2024-04-30,720
2024-05-31,718
2024-06-30,650
2024-07-31,674
2024-08-31,661
2024-09-30,670
2024-10-31,780
2024-11-30,746
2024-12-31,746
2025-01-31,713
2025-02-28,620
2025-03-31,718
2025-04-30,689
2025-05-31,697
2025-06-30,631
2025-07-31,653
2025-08-31,640
2025-09-30,647
2025-10-31,757
2025-11-30,724
2025-12-31,723
2026-01-31,691
2026-02-28,600
2026-03-31,694
2026-04-30,666
2026-05-31,676
2026-06-30,611
2026-07-31,633
2026-08-31,619
2026-09-30,626
2026-10-31,735
2026-11-30,701
2026-12-31,700
2027-01-31,670
2027-02-28,580
2027-03-31,672
2027-04-30,645
2027-05-31,655
2027-06-30,591
2027-07-31,613
2027-08-31,599
2027-09-30,605
2027-10-31,712
2027-11-30,677
2027-12-31,678
2028-01-31,649
2028-02-29,559
2028-03-31,651
2028-04-30,625
2028-05-31,635
2028-06-30,570
2028-07-31,593
2028-08-31,579
2028-09-30,584
