Date,Predicted Sales
2024-01-31,814
2024-02-29,876
2024-03-31,880
2024-04-30,864
2024-05-31,800
2024-06-30,813
2024-07-31,868
2024-08-31,819
2024-09-30,945
2024-10-31,784
2024-11-30,863
2024-12-31,896
2025-01-31,854
2025-02-28,871
2025-03-31,914
2025-04-30,868
2025-05-31,767
2025-06-30,876
2025-07-31,915
2025-08-31,791
2025-09-30,968
2025-10-31,883
2025-11-30,896
2025-12-31,919
2026-01-31,900
2026-02-28,846
2026-03-31,908
2026-04-30,776
2026-05-31,794
2026-06-30,866
2026-07-31,892
2026-08-31,866
2026-09-30,972
2026-10-31,895
2026-11-30,927
2026-12-31,961
2027-01-31,909
2027-02-28,927
2027-03-31,945
2027-04-30,904
2027-05-31,856
2027-06-30,902
2027-07-31,945
2027-08-31,883
2027-09-30,972
2027-10-31,898
2027-11-30,945
2027-12-31,968
2028-01-31,940
2028-02-29,938
2028-03-31,961
2028-04-30,918
2028-05-31,860
2028-06-30,937
2028-07-31,974
2028-08-31,891
2028-09-30,970
