Date,Predicted Sales
2024-01-31,755
2024-02-29,646
2024-03-31,801
2024-04-30,791
2024-05-31,794
2024-06-30,821
2024-07-31,887
2024-08-31,768
2024-09-30,767
2024-10-31,771
2024-11-30,766
2024-12-31,858
2025-01-31,785
2025-02-28,574
2025-03-31,777
2025-04-30,777
2025-05-31,789
2025-06-30,834
2025-07-31,882
2025-08-31,774
2025-09-30,758
2025-10-31,779
2025-11-30,827
2025-12-31,867
2026-01-31,775
2026-02-28,592
2026-03-31,782
2026-04-30,779
2026-05-31,789
2026-06-30,829
2026-07-31,882
2026-08-31,771
2026-09-30,759
2026-10-31,776
2026-11-30,809
2026-12-31,863
2027-01-31,776
2027-02-28,585
2027-03-31,779
2027-04-30,777
2027-05-31,788
2027-06-30,829
2027-07-31,880
2027-08-31,770
2027-09-30,757
2027-10-31,775
2027-11-30,812
2027-12-31,863
2028-01-31,774
2028-02-29,585
2028-03-31,778
2028-04-30,776
2028-05-31,786
2028-06-30,827
2028-07-31,879
2028-08-31,769
2028-09-30,756
