Date,Predicted Sales
2024-01-31,949
2024-02-29,809
2024-03-31,794
2024-04-30,968
2024-05-31,1026
2024-06-30,660
2024-07-31,929
2024-08-31,969
2024-09-30,855
2024-10-31,834
2024-11-30,794
2024-12-31,1002
2025-01-31,895
2025-02-28,805
2025-03-31,814
2025-04-30,935
2025-05-31,850
2025-06-30,736
2025-07-31,895
2025-08-31,969
2025-09-30,865
2025-10-31,868
2025-11-30,891
2025-12-31,942
2026-01-31,908
2026-02-28,792
2026-03-31,851
2026-04-30,939
2026-05-31,897
2026-06-30,714
2026-07-31,920
2026-08-31,1091
2026-09-30,1002
2026-10-31,911
2026-11-30,859
2026-12-31,1067
2027-01-31,1004
2027-02-28,875
2027-03-31,889
2027-04-30,1027
2027-05-31,1034
2027-06-30,760
2027-07-31,994
2027-08-31,1082
2027-09-30,976
2027-10-31,937
2027-11-30,902
2027-12-31,1087
2028-01-31,1006
2028-02-29,899
2028-03-31,917
2028-04-30,1039
2028-05-31,988
2028-06-30,813
2028-07-31,1002
2028-08-31,1095
2028-09-30,993
