Date,Predicted Sales
2024-01-31,864
2024-02-29,756
2024-03-31,1019
2024-04-30,720
2024-05-31,859
2024-06-30,874
2024-07-31,892
2024-08-31,780
2024-09-30,895
2024-10-31,864
2024-11-30,876
2024-12-31,736
2025-01-31,847
2025-02-28,783
2025-03-31,967
2025-04-30,768
2025-05-31,820
2025-06-30,860
2025-07-31,829
2025-08-31,829
2025-09-30,886
2025-10-31,888
2025-11-30,847
2025-12-31,750
2026-01-31,841
2026-02-28,796
2026-03-31,994
2026-04-30,747
2026-05-31,832
2026-06-30,893
2026-07-31,867
2026-08-31,808
2026-09-30,905
2026-10-31,887
2026-11-30,862
2026-12-31,721
2027-01-31,857
2027-02-28,792
2027-03-31,1009
2027-04-30,745
2027-05-31,848
2027-06-30,894
2027-07-31,879
2027-08-31,811
2027-09-30,912
2027-10-31,885
2027-11-30,866
2027-12-31,728
2028-01-31,861
2028-02-29,799
2028-03-31,1006
2028-04-30,755
2028-05-31,846
2028-06-30,892
2028-07-31,872
2028-08-31,826
2028-09-30,915
