Date,Predicted Sales
2024-01-31,661
2024-02-29,549
2024-03-31,701
2024-04-30,607
2024-05-31,667
2024-06-30,603
2024-07-31,644
2024-08-31,703
2024-09-30,715
2024-10-31,654
2024-11-30,602
2024-12-31,693
2025-01-31,601
2025-02-28,533
2025-03-31,653
2025-04-30,565
2025-05-31,630
2025-06-30,563
2025-07-31,602
2025-08-31,661
2025-09-30,674
2025-10-31,613
2025-11-30,564
2025-12-31,653
2026-01-31,567
2026-02-28,498
2026-03-31,615
2026-04-30,531
2026-05-31,594
2026-06-30,530
2026-07-31,563
2026-08-31,620
2026-09-30,634
2026-10-31,577
2026-11-30,530
2026-12-31,616
2027-01-31,534
2027-02-28,464
2027-03-31,580
2027-04-30,498
2027-05-31,560
2027-06-30,496
2027-07-31,529
2027-08-31,581
2027-09-30,597
2027-10-31,544
2027-11-30,496
2027-12-31,582
2028-01-31,500
2028-02-29,430
2028-03-31,547
2028-04-30,464
2028-05-31,527
2028-06-30,463
2028-07-31,496
2028-08-31,548
2028-09-30,564
