Date,Predicted Sales
2024-01-31,722
2024-02-29,779
2024-03-31,837
2024-04-30,734
2024-05-31,777
2024-06-30,756
2024-07-31,799
2024-08-31,825
2024-09-30,744
2024-10-31,773
2024-11-30,819
2024-12-31,817
2025-01-31,715
2025-02-28,782
2025-03-31,827
2025-04-30,745
2025-05-31,767
2025-06-30,752
2025-07-31,800
2025-08-31,823
2025-09-30,745
2025-10-31,770
2025-11-30,817
2025-12-31,817
2026-01-31,714
2026-02-28,781
2026-03-31,826
2026-04-30,744
2026-05-31,766
2026-06-30,751
2026-07-31,799
2026-08-31,822
2026-09-30,744
2026-10-31,769
2026-11-30,816
2026-12-31,816
2027-01-31,714
2027-02-28,779
2027-03-31,825
2027-04-30,743
2027-05-31,765
2027-06-30,750
2027-07-31,798
2027-08-31,821
2027-09-30,743
2027-10-31,768
2027-11-30,815
2027-12-31,815
2028-01-31,713
2028-02-29,778
2028-03-31,824
2028-04-30,742
2028-05-31,764
2028-06-30,749
2028-07-31,797
2028-08-31,820
2028-09-30,742
