Date,Predicted Sales
2024-01-31,847
2024-02-29,785
2024-03-31,812
2024-04-30,821
2024-05-31,836
2024-06-30,827
2024-07-31,892
2024-08-31,883
2024-09-30,815
2024-10-31,831
2024-11-30,769
2024-12-31,809
2025-01-31,853
2025-02-28,791
2025-03-31,818
2025-04-30,827
2025-05-31,842
2025-06-30,833
2025-07-31,899
2025-08-31,890
2025-09-30,821
2025-10-31,837
2025-11-30,773
2025-12-31,816
2026-01-31,859
2026-02-28,796
2026-03-31,824
2026-04-30,834
2026-05-31,849
2026-06-30,839
2026-07-31,905
2026-08-31,896
2026-09-30,828
2026-10-31,844
2026-11-30,778
2026-12-31,822
2027-01-31,865
2027-02-28,802
2027-03-31,830
2027-04-30,840
2027-05-31,855
2027-06-30,846
2027-07-31,911
2027-08-31,903
2027-09-30,834
2027-10-31,850
2027-11-30,782
2027-12-31,828
2028-01-31,871
2028-02-29,807
2028-03-31,837
2028-04-30,846
2028-05-31,861
2028-06-30,852
2028-07-31,917
2028-08-31,909
2028-09-30,840
