Date,Predicted Sales
2024-01-31,870
2024-02-29,791
2024-03-31,880
2024-04-30,809
2024-05-31,863
2024-06-30,792
2024-07-31,890
2024-08-31,900
2024-09-30,767
2024-10-31,790
2024-11-30,892
2024-12-31,859
2025-01-31,900
2025-02-28,825
2025-03-31,840
2025-04-30,815
2025-05-31,870
2025-06-30,759
2025-07-31,871
2025-08-31,901
2025-09-30,740
2025-10-31,842
2025-11-30,896
2025-12-31,857
2026-01-31,894
2026-02-28,813
2026-03-31,897
2026-04-30,851
2026-05-31,826
2026-06-30,829
2026-07-31,829
2026-08-31,879
2026-09-30,748
2026-10-31,916
2026-11-30,825
2026-12-31,903
2027-01-31,905
2027-02-28,826
2027-03-31,898
2027-04-30,844
2027-05-31,876
2027-06-30,818
2027-07-31,895
2027-08-31,915
2027-09-30,752
2027-10-31,860
2027-11-30,895
2027-12-31,894
2028-01-31,922
2028-02-29,844
2028-03-31,890
2028-04-30,853
2028-05-31,884
2028-06-30,810
2028-07-31,896
2028-08-31,920
2028-09-30,746
