Date,Predicted Sales
2024-01-31,803
2024-02-29,842
2024-03-31,750
2024-04-30,681
2024-05-31,902
2024-06-30,822
2024-07-31,843
2024-08-31,906
2024-09-30,738
2024-10-31,879
2024-11-30,1006
2024-12-31,869
2025-01-31,929
2025-02-28,888
2025-03-31,676
2025-04-30,758
2025-05-31,900
2025-06-30,873
2025-07-31,698
2025-08-31,822
2025-09-30,730
2025-10-31,856
2025-11-30,898
2025-12-31,847
2026-01-31,840
2026-02-28,954
2026-03-31,779
2026-04-30,705
2026-05-31,856
2026-06-30,869
2026-07-31,697
2026-08-31,877
2026-09-30,810
2026-10-31,801
2026-11-30,886
2026-12-31,852
2027-01-31,858
2027-02-28,861
2027-03-31,712
2027-04-30,712
2027-05-31,895
2027-06-30,841
2027-07-31,766
2027-08-31,862
2027-09-30,731
2027-10-31,862
2027-11-30,949
2027-12-31,854
2028-01-31,883
2028-02-29,913
2028-03-31,720
2028-04-30,728
2028-05-31,875
2028-06-30,866
2028-07-31,695
2028-08-31,843
2028-09-30,762
