Date,Predicted Sales
2024-01-31,874
2024-02-29,803
2024-03-31,814
2024-04-30,853
2024-05-31,762
2024-06-30,825
2024-07-31,880
2024-08-31,864
2024-09-30,852
2024-10-31,788
2024-11-30,777
2024-12-31,878
2025-01-31,873
2025-02-28,786
2025-03-31,806
2025-04-30,859
2025-05-31,786
2025-06-30,833
2025-07-31,885
2025-08-31,885
2025-09-30,853
2025-10-31,815
2025-11-30,803
2025-12-31,873
2026-01-31,913
2026-02-28,816
2026-03-31,812
2026-04-30,853
2026-05-31,798
2026-06-30,838
2026-07-31,888
2026-08-31,879
2026-09-30,858
2026-10-31,801
2026-11-30,808
2026-12-31,878
2027-01-31,918
2027-02-28,825
2027-03-31,821
2027-04-30,862
2027-05-31,802
2027-06-30,845
2027-07-31,896
2027-08-31,886
2027-09-30,866
2027-10-31,808
2027-11-30,813
2027-12-31,887
2028-01-31,921
2028-02-29,829
2028-03-31,829
2028-04-30,871
2028-05-31,809
2028-06-30,853
2028-07-31,903
2028-08-31,895
2028-09-30,874
