Date,Predicted Sales
2024-01-31,850
2024-02-29,774
2024-03-31,772
2024-04-30,756
2024-05-31,759
2024-06-30,824
2024-07-31,832
2024-08-31,774
2024-09-30,722
2024-10-31,797
2024-11-30,753
2024-12-31,828
2025-01-31,840
2025-02-28,769
2025-03-31,772
2025-04-30,755
2025-05-31,758
2025-06-30,824
2025-07-31,831
2025-08-31,774
2025-09-30,722
2025-10-31,796
2025-11-30,753
2025-12-31,827
2026-01-31,840
2026-02-28,769
2026-03-31,771
2026-04-30,755
2026-05-31,758
2026-06-30,823
2026-07-31,831
2026-08-31,773
2026-09-30,721
2026-10-31,796
2026-11-30,752
2026-12-31,827
2027-01-31,839
2027-02-28,768
2027-03-31,770
2027-04-30,754
2027-05-31,757
2027-06-30,823
2027-07-31,830
2027-08-31,773
2027-09-30,720
2027-10-31,795
2027-11-30,752
2027-12-31,826
2028-01-31,839
2028-02-29,768
2028-03-31,770
2028-04-30,754
2028-05-31,757
2028-06-30,822
2028-07-31,830
2028-08-31,772
2028-09-30,720
