Date,Predicted Sales
2024-01-31,795
2024-02-29,722
2024-03-31,797
2024-04-30,769
2024-05-31,768
2024-06-30,734
2024-07-31,815
2024-08-31,715
2024-09-30,724
2024-10-31,731
2024-11-30,783
2024-12-31,785
2025-01-31,757
2025-02-28,719
2025-03-31,798
2025-04-30,766
2025-05-31,757
2025-06-30,731
2025-07-31,811
2025-08-31,709
2025-09-30,717
2025-10-31,726
2025-11-30,779
2025-12-31,780
2026-01-31,752
2026-02-28,713
2026-03-31,793
2026-04-30,761
2026-05-31,751
2026-06-30,726
2026-07-31,806
2026-08-31,703
2026-09-30,712
2026-10-31,721
2026-11-30,774
2026-12-31,775
2027-01-31,746
2027-02-28,708
2027-03-31,789
2027-04-30,756
2027-05-31,746
2027-06-30,720
2027-07-31,801
2027-08-31,698
2027-09-30,706
2027-10-31,715
2027-11-30,769
2027-12-31,770
2028-01-31,741
2028-02-29,702
2028-03-31,784
2028-04-30,751
2028-05-31,740
2028-06-30,714
2028-07-31,796
2028-08-31,692
2028-09-30,701
