Date,Predicted Sales
2024-01-31,813
2024-02-29,618
2024-03-31,724
2024-04-30,788
2024-05-31,727
2024-06-30,796
2024-07-31,815
2024-08-31,835
2024-09-30,821
2024-10-31,691
2024-11-30,769
2024-12-31,665
2025-01-31,797
2025-02-28,658
2025-03-31,728
2025-04-30,725
2025-05-31,778
2025-06-30,837
2025-07-31,733
2025-08-31,809
2025-09-30,742
2025-10-31,709
2025-11-30,792
2025-12-31,654
2026-01-31,741
2026-02-28,652
2026-03-31,755
2026-04-30,704
2026-05-31,769
2026-06-30,814
2026-07-31,763
2026-08-31,800
2026-09-30,749
2026-10-31,663
2026-11-30,796
2026-12-31,634
2027-01-31,757
2027-02-28,618
2027-03-31,704
2027-04-30,709
2027-05-31,726
2027-06-30,784
2027-07-31,734
2027-08-31,782
2027-09-30,739
2027-10-31,663
2027-11-30,755
2027-12-31,627
2028-01-31,734
2028-02-29,619
2028-03-31,704
2028-04-30,682
2028-05-31,729
2028-06-30,781
2028-07-31,714
2028-08-31,767
2028-09-30,715
