Date,Predicted Sales
2024-01-31,836
2024-02-29,689
2024-03-31,697
2024-04-30,704
2024-05-31,696
2024-06-30,753
2024-07-31,696
2024-08-31,615
2024-09-30,683
2024-10-31,824
2024-11-30,649
2024-12-31,743
2025-01-31,788
2025-02-28,653
2025-03-31,734
2025-04-30,764
2025-05-31,729
2025-06-30,701
2025-07-31,707
2025-08-31,668
2025-09-30,619
2025-10-31,748
2025-11-30,636
2025-12-31,713
2026-01-31,797
2026-02-28,668
2026-03-31,742
2026-04-30,710
2026-05-31,788
2026-06-30,719
2026-07-31,720
2026-08-31,638
2026-09-30,721
2026-10-31,779
2026-11-30,610
2026-12-31,658
2027-01-31,759
2027-02-28,616
2027-03-31,671
2027-04-30,678
2027-05-31,678
2027-06-30,678
2027-07-31,645
2027-08-31,572
2027-09-30,621
2027-10-31,736
2027-11-30,578
2027-12-31,671
2028-01-31,731
2028-02-29,592
2028-03-31,678
2028-04-30,682
2028-05-31,688
2028-06-30,648
2028-07-31,639
2028-08-31,570
2028-09-30,596
