Date,Predicted Sales
2024-01-31,780
2024-02-29,669
2024-03-31,792
2024-04-30,734
2024-05-31,766
2024-06-30,721
2024-07-31,701
2024-08-31,784
2024-09-30,727
2024-10-31,730
2024-11-30,764
2024-12-31,758
2025-01-31,792
2025-02-28,615
2025-03-31,782
2025-04-30,760
2025-05-31,766
2025-06-30,703
2025-07-31,710
2025-08-31,776
2025-09-30,711
2025-10-31,722
2025-11-30,768
2025-12-31,741
2026-01-31,780
2026-02-28,609
2026-03-31,775
2026-04-30,748
2026-05-31,756
2026-06-30,695
2026-07-31,701
2026-08-31,766
2026-09-30,701
2026-10-31,712
2026-11-30,758
2026-12-31,731
2027-01-31,771
2027-02-28,601
2027-03-31,765
2027-04-30,738
2027-05-31,747
2027-06-30,687
2027-07-31,691
2027-08-31,756
2027-09-30,692
2027-10-31,703
2027-11-30,748
2027-12-31,722
2028-01-31,763
2028-02-29,594
2028-03-31,756
2028-04-30,729
2028-05-31,738
2028-06-30,679
2028-07-31,683
2028-08-31,747
2028-09-30,684
