Date,Predicted Sales
2024-01-31,804
2024-02-29,682
2024-03-31,707
2024-04-30,722
2024-05-31,699
2024-06-30,770
2024-07-31,711
2024-08-31,718
2024-09-30,704
2024-10-31,635
2024-11-30,718
2024-12-31,586
2025-01-31,657
2025-02-28,697
2025-03-31,768
2025-04-30,548
2025-05-31,636
2025-06-30,622
2025-07-31,725
2025-08-31,674
2025-09-30,860
2025-10-31,675
2025-11-30,569
2025-12-31,675
2026-01-31,671
2026-02-28,638
2026-03-31,652
2026-04-30,616
2026-05-31,779
2026-06-30,688
2026-07-31,648
2026-08-31,722
2026-09-30,702
2026-10-31,632
2026-11-30,630
2026-12-31,555
2027-01-31,687
2027-02-28,608
2027-03-31,637
2027-04-30,609
2027-05-31,645
2027-06-30,666
2027-07-31,633
2027-08-31,648
2027-09-30,657
2027-10-31,575
2027-11-30,613
2027-12-31,525
2028-01-31,601
2028-02-29,602
2028-03-31,655
2028-04-30,506
2028-05-31,591
2028-06-30,575
2028-07-31,627
2028-08-31,607
2028-09-30,720
