Date,Predicted Sales
2024-01-31,892
2024-02-29,771
2024-03-31,980
2024-04-30,803
2024-05-31,791
2024-06-30,843
2024-07-31,886
2024-08-31,872
2024-09-30,795
2024-10-31,852
2024-11-30,824
2024-12-31,1030
2025-01-31,859
2025-02-28,835
2025-03-31,930
2025-04-30,837
2025-05-31,894
2025-06-30,876
2025-07-31,831
2025-08-31,905
2025-09-30,763
2025-10-31,908
2025-11-30,905
2025-12-31,1020
2026-01-31,893
2026-02-28,833
2026-03-31,970
2026-04-30,846
2026-05-31,878
2026-06-30,886
2026-07-31,873
2026-08-31,915
2026-09-30,796
2026-10-31,907
2026-11-30,893
2026-12-31,1042
2027-01-31,901
2027-02-28,855
2027-03-31,976
2027-04-30,864
2027-05-31,905
2027-06-30,903
2027-07-31,879
2027-08-31,934
2027-09-30,806
2027-10-31,923
2027-11-30,911
2027-12-31,1050
2028-01-31,917
2028-02-29,868
2028-03-31,993
2028-04-30,878
2028-05-31,914
2028-06-30,915
2028-07-31,898
2028-08-31,949
2028-09-30,823
