Date,Predicted Sales
2024-01-31,653
2024-02-29,722
2024-03-31,784
2024-04-30,753
2024-05-31,735
2024-06-30,742
2024-07-31,748
2024-08-31,722
2024-09-30,746
2024-10-31,671
2024-11-30,700
2024-12-31,790
2025-01-31,691
2025-02-28,694
2025-03-31,754
2025-04-30,742
2025-05-31,733
2025-06-30,714
2025-07-31,760
2025-08-31,692
2025-09-30,693
2025-10-31,648
2025-11-30,697
2025-12-31,802
2026-01-31,669
2026-02-28,675
2026-03-31,752
2026-04-30,719
2026-05-31,698
2026-06-30,704
2026-07-31,745
2026-08-31,668
2026-09-30,677
2026-10-31,658
2026-11-30,677
2026-12-31,771
2027-01-31,648
2027-02-28,668
2027-03-31,736
2027-04-30,710
2027-05-31,695
2027-06-30,690
2027-07-31,725
2027-08-31,666
2027-09-30,676
2027-10-31,631
2027-11-30,664
2027-12-31,763
2028-01-31,643
2028-02-29,650
2028-03-31,720
2028-04-30,694
2028-05-31,679
2028-06-30,674
2028-07-31,714
2028-08-31,652
2028-09-30,660
